2	1544738437813	138	1039.9092
20	1544738438852	1040	1031.5903
22	1544738438854	2	1028.4805
51	1544738440828	1974	1025.8209
0	1544739643270	7	1005.2944
2	1544739693533	1294	1065.591
3	1544739694316	783	1048.058
18	1544739695462	1147	1036.2299
35	1544739695607	145	1032.6456
52	1544739695965	358	1025.4756
63	1544739697109	1144	1020.7294
242	1544739702535	5426	1000.44025
297	1544739705322	2787	1000.33295
2	1544739908899	234	1045.1024
44	1544739910104	1204	1042.6665
50	1544739910993	890	1032.9386
55	1544739911564	571	1023.41406
78	1544739911818	254	1012.0854
123	1544739912981	1163	998.43
1173	1544739942931	29950	980.3056
108	1545360706789	2824	1007.67236
