Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16	Total sin Superficie	Total con Superficie
23	1568.865	1216.2072	2970.6035	1541.9741	2439.2805	1634.407	2776.4775	1778.7515	1141.6793	1294.5103	2456.15	1511.9269	1488.9769	1805.6101	2624.3064	1843.2911	30093.018	2.00129248E8
1	1972.4381	768.7807	5713.1143	1481.4922	2417.5913	2838.085	2386.7837	2319.6245	1519.4703	1967.2756	2395.9185	1693.4318	1584.797	1585.5599	2104.5757	1638.7222	34387.66	2.02870896E8
36	1669.8549	1094.0873	3767.1096	1716.6516	1301.1016	2393.5527	2493.3386	1533.8882	1015.8709	1359.3046	2284.4521	1468.9077	1566.5663	1790.3917	2353.736	1329.438	29138.252	2.14092944E8
24	1810.9058	1346.671	2715.9746	1634.369	1505.0635	1637.8075	3503.269	1503.2184	1519.2222	2063.4365	3045.1177	1249.343	1600.1796	1635.9222	2777.355	1256.947	30804.803	2.21437872E8
30	1269.4352	1580.2544	3880.3464	1053.4119	1679.6134	2293.8638	2510.33	1370.3097	957.5344	3088.2507	2425.324	1040.6997	2101.7715	1885.4987	2000.0637	1727.218	30863.926	2.304884E8
15	1211.8683	2033.2295	2480.593	1575.793	1800.2158	1627.3015	2920.885	1645.5721	2936.1216	2052.8938	1891.0345	1838.2269	2053.0686	1887.6222	2321.6357	1729.8385	32005.9	2.37007728E8
31	1810.158	747.9122	3351.369	1460.2095	1585.392	2095.5833	2521.6365	1965.5305	1505.7134	1985.0417	2326.1228	1607.8053	1254.926	1411.8687	2912.6409	1584.0564	30125.965	2.45325904E8
35	1185.6936	1291.5916	2912.4402	1527.5942	1792.5394	1973.1794	3150.9844	1452.4341	1139.3439	1510.4701	2585.1694	1475.438	1861.9902	1485.1111	3331.7224	1561.7747	30237.479	2.5595136E8
17	1026.998	1982.3138	3484.6284	1245.3438	1850.9254	1573.8772	3414.739	1268.337	808.1917	1405.5286	2512.3726	1025.4348	1176.0101	1346.4094	3179.6245	1315.2694	28616.008	2.62338352E8
18	1464.4379	1407.1901	2548.2131	1106.2233	2682.3892	1604.2178	2285.0393	2000.5693	2475.7688	1280.6583	2433.9343	1816.0953	1541.1348	1052.6448	2728.2095	1668.6418	30095.367	2.68775744E8
5	1234.918	1501.5425	2851.5786	1536.2988	1546.4758	1298.4728	3249.6533	1488.8007	1186.5436	1225.3472	3122.8381	1196.8901	1949.5614	1569.3167	3009.9312	1181.2949	29149.463	2.73297184E8
12	1851.0171	900.38074	2816.5942	2013.1241	1643.0444	1994.361	3035.982	2611.732	1236.7607	2375.3699	2121.4539	1115.8297	2851.411	1213.0485	2135.723	2046.7118	31962.541	2.79519584E8
20	1429.6938	1585.9512	2802.491	1562.7069	1381.5375	1348.1091	3118.8499	1603.2177	1213.6223	1956.7418	2290.2688	1579.0309	1595.6807	1946.6968	2856.6523	1846.6527	30117.904	2.8528272E8
9	1534.4976	653.8893	3714.2805	1518.4066	1376.5354	2063.0571	2857.5068	1817.5248	2409.0708	1664.4425	3013.5725	2554.8174	1172.8451	1696.091	3176.0896	1426.4163	32649.045	2.90709664E8
25	1586.9844	1973.5999	2977.0476	1466.516	1929.2358	2278.6921	2340.6538	1929.5377	1863.3734	2369.6938	1910.4196	2238.879	2748.8494	1502.6881	2023.1567	2464.0525	33603.38	2.97757312E8
41	1590.6959	1177.1132	4101.415	1194.5195	2347.791	1944.2307	2380.9397	1339.639	2224.9392	2842.8142	2077.809	1384.6571	1588.9081	1846.7885	1717.7365	1255.4297	31015.426	3.0774768E8
