ID,N,10,0	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
945	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	FE+TB+L (4° año)	Moha	Moha	Lotus Puro (1° año)	Lotus Puro (1° año)
946	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
947	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
948	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
949	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
950	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
951	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
952	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
953	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
954	Sorgo Forrajero	Rastrojo	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)	FE+TB+L (4° año)
955	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
956	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
957	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
958	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	Avena+Raigrás Temp	Avena+Raigrás Temp	Avena+Raigrás Temp	Maiz	Maiz	Rastrojo	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)
959	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
960	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (1° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (2° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (3° año)	FE+TB+L (4° año)
961	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
962	Campo Natural	Campo Natural	Campo Natural	Campo Natural	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (1° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	TR+Cebadilla (2° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)	Achicoria (1° año)
963	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado	Reservado
