Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16	Total sin Superficie	Total con Superficie
23	1296.024	1105.929	3254.4375	1496.8956	1811.5875	1533.7721	3228.237	1408.4102	1575.498	1515.1072	2576.805	1293.2339	1408.7476	1442.8958	2563.1538	1404.1671	28914.906	1.97386192E8
1	1741.9485	587.133	2435.435	2329.276	1290.2249	1398.5582	2814.806	1874.4017	1493.3535	1871.6346	1981.5079	1482.8595	1429.6019	1926.8965	1553.4231	2071.0168	28282.078	1.99641072E8
36	1683.3275	1289.4421	3138.6748	1559.5033	1128.6956	1352.4491	2870.031	1524.1497	1528.8071	1873.844	3394.9204	1258.5266	1654.0082	2066.7864	2566.442	1772.3538	30661.96	2.11449968E8
24	2043.5714	1424.3793	3725.5986	1304.9163	1185.2704	1423.3645	2796.5718	1574.601	1617.6619	1483.9218	2693.5044	1449.0281	2148.1755	1520.1855	2874.8396	1444.9369	30710.525	2.187724E8
30	749.9544	1027.6819	3489.981	2145.3037	1862.3788	2093.02	2477.4097	901.12585	1282.7589	2519.9905	1916.521	1879.6129	1783.9452	2559.1147	2245.0881	1390.0062	30323.895	2.27664592E8
15	1393.8865	995.0045	2972.4993	1457.1061	1368.506	1880.8085	2850.1611	1651.8282	2118.924	2238.2163	2041.1974	2602.5466	2547.9722	1276.1648	2345.8203	2308.5117	32049.154	2.34192688E8
31	1855.7484	717.3944	3202.0322	1853.2585	1689.7883	2023.6678	2162.3953	2943.2524	1508.8716	1739.9586	2175.5889	1625.6484	1326.152	1498.3358	2062.397	2090.3735	30474.863	2.42607248E8
35	1350.0859	1318.3937	2589.4377	1306.5684	2112.685	1902.6687	2549.4326	1587.298	2655.7656	1599.1144	1893.0621	1890.8575	1468.3916	1730.1595	2461.9297	2049.5457	30465.396	2.53312736E8
17	869.6809	1262.4072	2873.1494	1455.1837	2888.8254	1822.4152	2960.8079	1679.1819	1044.9829	1066.1473	2572.6663	1439.1038	1368.5647	2175.6401	2470.5828	1097.4069	29046.742	2.59795888E8
18	1064.9514	1354.3394	3371.1697	1633.6505	1412.1624	1522.8857	2626.0637	1808.0938	1761.6283	1661.3873	1821.0714	3092.1936	1412.9299	1173.1251	1793.3646	1454.0746	28963.092	2.65991088E8
5	1129.2795	902.4718	2854.0417	2011.0092	1287.8345	978.48663	2691.9668	1130.9049	1523.4318	1855.4119	2304.896	1191.2211	1140.2322	3055.917	2119.1914	1578.0242	27754.32	2.70296128E8
12	1967.5857	837.98444	5498.5396	1139.7539	1344.391	2033.2306	2781.1648	1167.547	1620.6571	2072.2947	2117.1165	1535.6353	2398.5735	1920.7609	1815.1598	2049.651	32300.047	2.76584288E8
20	1498.2097	1596.6368	4086.0447	1595.187	1371.5006	2395.9312	3206.7913	1017.1356	3286.8547	2934.9219	1940.5508	1130.7106	2169.5342	1447.1733	2852.122	2417.7495	34947.055	2.8327152E8
9	1652.5697	2058.0469	2637.6943	1402.8845	1201.8943	1154.3942	2461.5242	1626.2063	1475.1117	1508.567	2140.876	1596.0725	1219.1731	1196.1084	2354.9492	1780.521	27466.596	2.87837024E8
25	1535.3573	944.137	3005.249	1818.1086	1323.8407	1587.9926	2699.1482	1446.5546	1754.5084	2325.428	2168.6548	2083.766	1907.5798	2283.7224	2395.7017	1276.5819	30556.33	2.94245536E8
41	1358.884	652.63806	3064.334	1551.7687	1827.0721	2041.7965	2897.9033	1773.2566	1693.7456	1881.0751	3360.415	1957.1661	1339.9962	2737.3455	2408.8645	1427.0134	31973.273	3.04544384E8
